"description","qid","item","wiki_name","name","label"
"Ruler of Seville, Al-Andalus from 1042 to 1069","Q30556","http://www.wikidata.org/entity/Q30556","Abbad II al-Mu'tadid","Abbad II al-Mu'tadid","1"
"Iranian film director, screenwriter, photographer and film producer (1940–2016)","Q55210","http://www.wikidata.org/entity/Q55210","Abbas Kiarostami","Abbas Kiarostami","2"
"UNESCO World Heritage Abbey of Lorsch in Germany","Q157550","http://www.wikidata.org/entity/Q157550","Lorsch Abbey","Abbey and Altenmünster of Lorsch","2"
"manufacturer of cars, aircraft, motor scooters, and engines","Q262737","http://www.wikidata.org/entity/Q262737","ABC Motors","ABC Motors","0"
"Ghanaian politician","Q84044419","http://www.wikidata.org/entity/Q84044419","Abeiku Crentsil","Abeiku Crentsil","1"
"Indian author, painter, cartoonist, journalist, environmentalist, playwright and screenwriter","Q9457","http://www.wikidata.org/entity/Q9457","Abid Surti","Abid Surti","1"
"genus of plants","Q25350","http://www.wikidata.org/entity/Q25350","Fir","Abies","0"
"tributary of the Moose River, in northeastern Ontario, Canada","Q59647","http://www.wikidata.org/entity/Q59647","Abitibi River","Abitibi River","1"
"Australian government agency, 1990-2004","Q322956","http://www.wikidata.org/entity/Q322956","Aboriginal and Torres Strait Islander Commission","Aboriginal and Torres Strait Islander Commission","1"
"president of the United States from 1861 to 1865","Q91","http://www.wikidata.org/entity/Q91","Abraham Lincoln","Abraham Lincoln","2"
"division of ABS-CBN Corporation and TV5 Network Inc.","Q4650387","http://www.wikidata.org/entity/Q4650387","ABS-CBN News and Current Affairs","ABS-CBN Integrated News","1"
"prayer for or a declaration of absolution of a dead person's sins that takes place at the person's religious funeral","Q2822053","http://www.wikidata.org/entity/Q2822053","Absolution of the dead","Absolution of the dead","1"
"film genre","Q332564","http://www.wikidata.org/entity/Q332564","Abstract animation","abstract animation film","0"
"Formula One motor race","Q7849","http://www.wikidata.org/entity/Q7849","Abu Dhabi Grand Prix","Abu Dhabi Grand Prix","2"
"8th-century classical Arabic poet","Q5670","http://www.wikidata.org/entity/Q5670","Abu Nuwas","Abu Nuwas","2"
"Founder of the Shadhili order","Q2704613","http://www.wikidata.org/entity/Q2704613","Al-Shadhili","Abul Hasan ash-Shadhili","1"
"association football team from Porto, Portugal","Q337429","http://www.wikidata.org/entity/Q337429","Académico F.C.","Académico F.C.","1"
"snooker tournament","Q288066","http://www.wikidata.org/entity/Q288066","ACBS Asian Snooker Championship","ACBS Asian Snooker Championship","0"
"sports drink brand","Q4672263","http://www.wikidata.org/entity/Q4672263","Accelerade","Accelerade","0"
"political philosophy that the prevailing system of capitalism should be expanded in order to generate radical social change","Q16001522","http://www.wikidata.org/entity/Q16001522","Accelerationism","accelerationism","0"
"a set of rules applied by the manager of a network","Q4672374","http://www.wikidata.org/entity/Q4672374","Acceptable use policy","acceptable use policy","0"
"expression of enthusiasm in Ancient Roman and Byzantine tradition; common to many political and religious rituals and important to medieval Christian worship","Q83390","http://www.wikidata.org/entity/Q83390","Acclamatio","acclamatio","0"
"form of election that does not use a ballot","Q419736","http://www.wikidata.org/entity/Q419736","Acclamation","acclamation","0"
"person who actively participates in the commission of a crime, even if they take no part in the actual criminal offense, with the other perpetrators","Q706884","http://www.wikidata.org/entity/Q706884","Accomplice","accomplice","0"
"someone who plays the accordion","Q1863064","http://www.wikidata.org/entity/Q1863064","Accordionist","accordionist","2"
"genus of plants","Q42292","http://www.wikidata.org/entity/Q42292","Maple","Acer","0"
"family of molluscs","Q386510","http://www.wikidata.org/entity/Q386510","Achatinidae","Achatinidae","0"
"subgenre of psychedelic rock music","Q236932","http://www.wikidata.org/entity/Q236932","Acid rock","acid rock","2"
"organisms that thrive under highly acidic conditions (usually at pH 2.0 or below)","Q196188","http://www.wikidata.org/entity/Q196188","Acidophile","acidophile","0"
"form of electroacoustic music","Q423918","http://www.wikidata.org/entity/Q423918","Acousmatic music","acousmatic music","0"
"New Zealand political party","Q288838","http://www.wikidata.org/entity/Q288838","ACT New Zealand","ACT New Zealand","1"
"film genre","Q188473","http://www.wikidata.org/entity/Q188473","Action film","action film","0"
"unmotorised transport powered by human physical activity","Q4010939","http://www.wikidata.org/entity/Q4010939","Active mobility","active mobility","0"
"book which is intended to be written in or otherwise modified.","Q4677625","http://www.wikidata.org/entity/Q4677625","Activity book","activity book","0"
"town in Indianapolis","Q344394","http://www.wikidata.org/entity/Q344394","Acton, Indiana","Acton","1"
"leading actor who sets up their own permanent theatrical company and manages the company's business","Q4677709","http://www.wikidata.org/entity/Q4677709","Actor-manager","actor-manager","0"
"female actor","Q21169216","http://www.wikidata.org/entity/Q21169216","Actress","actress","0"
"automobile club in Germany","Q289953","http://www.wikidata.org/entity/Q289953","ADAC","ADAC","1"
"French poet, composer and trouvère","Q4214","http://www.wikidata.org/entity/Q4214","Adam de la Halle","Adam de la Halle","2"
"German painter and draftsman (1578-1610)","Q310285","http://www.wikidata.org/entity/Q310285","Adam Elsheimer","Adam Elsheimer","2"
"association football club","Q352270","http://www.wikidata.org/entity/Q352270","Adanaspor","Adanaspor","1"
"French actress","Q31353","http://www.wikidata.org/entity/Q31353","Adèle Haenel","Adèle Haenel","2"
"old Christian ceremony to unite two people of the same sex","Q367540","http://www.wikidata.org/entity/Q367540","Adelphopoiesis","adelphopoiesis","1"
"seat of regional administration or local government, or a county town, or the place where the central administration of a commune is located","Q1306755","http://www.wikidata.org/entity/Q1306755","Administrative centre","administrative centre","0"
"do not use for Kilkenny or Cities in Northern Ireland","Q13455645","http://www.wikidata.org/entity/Q13455645","Administrative cities in the Republic of Ireland","administrative city in the Republic of Ireland","1"
"Soviet euphemism for extrajudicial punishment","Q515244","http://www.wikidata.org/entity/Q515244","Administrative process","administrative procedure","1"
"Catholic Church administrator","Q358832","http://www.wikidata.org/entity/Q358832","Ecclesiastical administrator","administrator","2"
"business district in Hong Kong","Q3270129","http://www.wikidata.org/entity/Q3270129","Admiralty, Hong Kong","Admiralty","1"
"Political party in Ecuador","Q289078","http://www.wikidata.org/entity/Q289078","Mover (political party)","ADN","1"
"German chess player (1898–1972)","Q98756","http://www.wikidata.org/entity/Q98756","Ado Kraemer","Ado Kraemer","1"
"building material of earth and organic materials","Q183496","http://www.wikidata.org/entity/Q183496","Adobe","adobe","0"
"German art historian (1842–1901)","Q78125","http://www.wikidata.org/entity/Q78125","Adolf Bötticher","Adolf Bötticher","1"
"German biochemist (1903-1995)","Q5327","http://www.wikidata.org/entity/Q5327","Adolf Butenandt","Adolf Butenandt","2"
"architect","Q87827","http://www.wikidata.org/entity/Q87827","Adolf Krischanitz","Adolf Krischanitz","1"
"generic area of theory, policy, practice and studies relating to law on adoption.","Q16001865","http://www.wikidata.org/entity/Q16001865","Adoption law","adoption law","0"
"Swiss typeface designer (1928-2015)","Q123621","http://www.wikidata.org/entity/Q123621","Adrian Frutiger","Adrian Frutiger","2"
"British skydiver (1962–2005)","Q373699","http://www.wikidata.org/entity/Q373699","Adrian Nicholas","Adrian Nicholas","1"
"British theatre director","Q373765","http://www.wikidata.org/entity/Q373765","Adrian Noble","Adrian Noble","2"
"living organism that has reached sexual maturity","Q80994","http://www.wikidata.org/entity/Q80994","Adult","adult","0"
"animation film genre","Q3249257","http://www.wikidata.org/entity/Q3249257","Adult animation","adult animation","0"
"American media company","Q379222","http://www.wikidata.org/entity/Q379222","Advance Publications","Advance Publications","2"
"television model","Q16001911","http://www.wikidata.org/entity/Q16001911","Advent Video Beam Television","Advent Video Beam Television","0"
"film genre","Q319221","http://www.wikidata.org/entity/Q319221","Adventure film","adventure film","0"
"ancient Roman military horn player","Q3773427","http://www.wikidata.org/entity/Q3773427","Aeneator","aeneator","1"
"British automobile manufacturer","Q381276","http://www.wikidata.org/entity/Q381276","Aero Car (1919 automobile)","Aero Car","2"
"organism that thrives in an oxygenated environment","Q193124","http://www.wikidata.org/entity/Q193124","Aerobic organism","aerobic organism","0"
"form of transport which uses a non-typical monorail system on a cable system, similar to the one used by suspension bridges","Q376771","http://www.wikidata.org/entity/Q376771","Aerobus","Aerobus","0"
"location from which aircraft flight operations take place","Q62447","http://www.wikidata.org/entity/Q62447","Aerodrome","aerodrome","0"
"center point of an airport","Q365873","http://www.wikidata.org/entity/Q365873","Airport reference point","aerodrome reference point","0"
"Estonian airline","Q381564","http://www.wikidata.org/entity/Q381564","Aeronaut (company)","Aeronaut","1"
"British clothing company based in Manchester, established in 1888, also the name of the original textile manufactured by the company","Q4688512","http://www.wikidata.org/entity/Q4688512","Aertex","Aertex","1"
"branch of philosophy dealing with the nature of art, beauty, and taste","Q35986","http://www.wikidata.org/entity/Q35986","Aesthetics","aesthetics","0"
"building","Q291566","http://www.wikidata.org/entity/Q291566","AF Borgen","AF-borgen","1"
"event in which Huldrych Zwingli and others ate sausage during Lent and publicly spoke in favor of eating meat during Lent","Q4688848","http://www.wikidata.org/entity/Q4688848","Affair of the Sausages","Affair of the Sausages","1"
"Italian coffee-based dessert","Q59059","http://www.wikidata.org/entity/Q59059","Affogato","affogato","2"
"clothing worn in Afghanistan","Q4384867","http://www.wikidata.org/entity/Q4384867","Afghan clothing","Afghan clothing","1"
"dances of the African continent","Q387407","http://www.wikidata.org/entity/Q387407","African dance","African dance","2"
"annual film festival held in Tarifa, Tangier or Cordoba","Q3070125","http://www.wikidata.org/entity/Q3070125","Festival of African Cinema","African Film Festival","1"
"wax-resist (batik) printed textile of Africa","Q15276542","http://www.wikidata.org/entity/Q15276542","African wax prints","African wax print","2"
"type of ethnic enclaves found in many cities in the United States","Q4689646","http://www.wikidata.org/entity/Q4689646","African-American neighborhood","African-American neighborhood","1"
"annual film festival in Milan, Italy","Q3070379","http://www.wikidata.org/entity/Q3070379","African, Asian and Latin American Film Festival","African, Asia, Latin American Film Festival of Milan","1"
"area of study within Africana studies","Q123050602","http://www.wikidata.org/entity/Q123050602","Africana philosophy","Africana philosophy","2"
"automobile manufacturer","Q384559","http://www.wikidata.org/entity/Q384559","Africar","Africar","1"
"a number of related religions that developed in the Americas in various nations of North America, South America, the Caribbean","Q388202","http://www.wikidata.org/entity/Q388202","African diaspora religions","Afro-American religion","2"
"2004 Danish drama film directed by Paprika Steen","Q24910","http://www.wikidata.org/entity/Q24910","Aftermath (2004 film)","Aftermath","1"
"Indonesian official cover term for various indigenous beliefs and new religious movements","Q4726861","http://www.wikidata.org/entity/Q4726861","Aliran Kepercayaan","agama asli Nusantara","1"
"public bodies of the community administration of the European Union","Q392918","http://www.wikidata.org/entity/Q392918","Agencies of the European Union","agency of the European Union","1"
"former tradition at Texas A&M University","Q4692205","http://www.wikidata.org/entity/Q4692205","Aggie Bonfire","Aggie Bonfire","1"
"inert material with sufficient compressive strength and appropriate size distribution added as load to a composite","Q866298","http://www.wikidata.org/entity/Q866298","Aggregate (composite)","aggregate","0"
"transport company","Q393786","http://www.wikidata.org/entity/Q393786","Agilis","Agilis","1"
"Polish media company","Q395389","http://www.wikidata.org/entity/Q395389","Agora (company)","Agora SA","1"
"village in the canton of Ticino, Switzerland","Q174312","http://www.wikidata.org/entity/Q174312","Agra, Switzerland","Agra","1"
"museum focused on matters related to crop growing","Q19890860","http://www.wikidata.org/entity/Q19890860","Agricultural museum","agricultural museum","0"
"Philosophical doctrine","Q4693967","http://www.wikidata.org/entity/Q4693967","Agricultural philosophy","agricultural philosophy","0"
"church building in Agrigento, Italy","Q2942535","http://www.wikidata.org/entity/Q2942535","Agrigento Cathedral","Agrigento Cathedral","1"
"Mexican drink","Q4694505","http://www.wikidata.org/entity/Q4694505","Agua fresca","Aguas frescas","2"
"Moroccan music genre","Q2635155","http://www.wikidata.org/entity/Q2635155","Ahidus","Ahidus","1"
"('The People of Hadith') is an Islamic school of Sunni Islam that emerged during the 2nd/3rd Islamic centuries of the Islamic era (late 8th and 9th century CE) as a movement of hadith scholars who considered the Quran and authentic hadith to be the o","Q26111350","http://www.wikidata.org/entity/Q26111350","Ahl-i Hadith","Ahl-i Hadith","1"
"traditional maritime greeting","Q310609","http://www.wikidata.org/entity/Q310609","Ahoy (greeting)","ahoy","0"
"German sports club","Q174401","http://www.wikidata.org/entity/Q174401","Ahrensburger TSV","Ahrensburger TSV","1"
"transport company","Q403021","http://www.wikidata.org/entity/Q403021","Ahukini Terminal and Railway Company","Ahukini Terminal and Railway Company","1"
"Occitan troubadour","Q5623","http://www.wikidata.org/entity/Q5623","Aimeric de Peguilhan","Aimeric de Peguilhan","1"
"various song-like vocal or instrumental compositions","Q406714","http://www.wikidata.org/entity/Q406714","Air (music)","air","0"
"Actively cooling clothing","Q4698311","http://www.wikidata.org/entity/Q4698311","Air conditioned clothing","air conditioned clothing","0"
"secular vocal music in France in the late Renaissance and early Baroque period","Q407916","http://www.wikidata.org/entity/Q407916","Air de cour","air de cour","1"
"brand of shoes and athletic clothing designed, owned, and produced for Michael Jordan by Nike","Q420953","http://www.wikidata.org/entity/Q420953","Air Jordan","Air Jordan","2"
"type of social gesture, which references a kiss","Q4698342","http://www.wikidata.org/entity/Q4698342","Air kiss","air kiss","0"
"finger gesture indicating quotation marks","Q2049775","http://www.wikidata.org/entity/Q2049775","Air quotes","air quotes","2"
"range of aerial activities","Q644628","http://www.wikidata.org/entity/Q644628","Air sports","air sports","0"
"location where aircraft take off and land with extended support facilities, mostly for commercial air transport","Q1248784","http://www.wikidata.org/entity/Q1248784","Airport","airport","0"
"Projectiles used by airsoft guns","Q4405347","http://www.wikidata.org/entity/Q4405347","Airsoft pellets","Airsoft pellet","0"
"transport company","Q403150","http://www.wikidata.org/entity/Q403150","AiRUnion","AiRUnion","1"
"church building with a single nave and no side-aisles","Q1936626","http://www.wikidata.org/entity/Q1936626","Aisleless church","aisleless church","0"
"annual international music festival in Aix-en-Provence, France","Q1408668","http://www.wikidata.org/entity/Q1408668","Aix-en-Provence Festival","Aix-en-Provence Festival","1"
"traditional eggplant dish","Q2078349","http://www.wikidata.org/entity/Q2078349","Ajapsandali","Ajapsandali","2"
"Indic philosophy","Q412873","http://www.wikidata.org/entity/Q412873","Ājīvika","Ājīvika","1"
"gesture","Q2828932","http://www.wikidata.org/entity/Q2828932","Akanbe","akanbe","1"
"Finnish film director","Q276186","http://www.wikidata.org/entity/Q276186","Aki Kaurismäki","Aki Kaurismäki","2"
"in historiography, the territories of the Iberian Peninsula under Islamic rule between 711 and 1492","Q123559","http://www.wikidata.org/entity/Q123559","Al-Andalus","al-Andalus","2"
"11th-century Persian scholar and polymath (973–1048)","Q11826","http://www.wikidata.org/entity/Q11826","Al-Biruni","Al-Biruni","2"
"second Abbasid Caliph (714-775)","Q31066","http://www.wikidata.org/entity/Q31066","Al-Mansur","Al-Mansur","2"
"traditional felted textile of Kyrgyzstan and Kazakhstan","Q4705114","http://www.wikidata.org/entity/Q4705114","Ala kiyiz","ala kiyiz","2"
"river in Spain","Q16663","http://www.wikidata.org/entity/Q16663","Alagón (river)","Alagón River","1"
"political party","Q64780","http://www.wikidata.org/entity/Q64780","Alash (party)","Alash Party","1"
"subgenre of Occitan lyric poetry","Q1991629","http://www.wikidata.org/entity/Q1991629","Alba (poetry)","alba","1"
"Balkan women who take a vow of chastity and wear male clothing in order to live as men","Q16002379","http://www.wikidata.org/entity/Q16002379","Balkan sworn virgins","Albanian sworn virgins","1"
"river in Spain","Q16513","http://www.wikidata.org/entity/Q16513","Alberche","Alberche","1"
"Spanish philologist","Q71951","http://www.wikidata.org/entity/Q71951","Albert Hauf","Albert Hauf","1"
"Swiss chemist (1906–2008)","Q122338","http://www.wikidata.org/entity/Q122338","Albert Hofmann","Albert Hofmann","2"
"German Nazi architect, Government Minister of Armaments and War Production for Nazi Germany and convicted Nazi War Criminal (1905–1981)","Q60045","http://www.wikidata.org/entity/Q60045","Albert Speer","Albert Speer","2"
"Nicaraguan religious leader (1898–1979)","Q5687778","http://www.wikidata.org/entity/Q5687778","Albertina Ramírez","Albertina Ramírez","1"
"American long-distance running coach, long-distance runner born in Cuba","Q717441","http://www.wikidata.org/entity/Q717441","Alberto Salazar","Alberto Salazar","2"
"German botanist (1757-1834)","Q64246","http://www.wikidata.org/entity/Q64246","Albrecht Wilhelm Roth","Albrecht Wilhelm Roth","1"
"American FM radio format","Q428656","http://www.wikidata.org/entity/Q428656","Album-oriented rock","album-oriented rock","1"
"cultural property in Badajoz, Spain","Q527301","http://www.wikidata.org/entity/Q527301","Alcazaba of Badajoz","Alcazaba of Badajoz","1"
"laws in relation to the manufacture, use, being under the influence of and sale of alcohol","Q2647483","http://www.wikidata.org/entity/Q2647483","Alcohol law","alcohol law","0"
"Laws relating to sale and consumption of alcohol in India","Q4713282","http://www.wikidata.org/entity/Q4713282","Alcohol laws of India","Alcohol laws of India","1"
"laws governing alcoholic beverages in New Jersey","Q4713290","http://www.wikidata.org/entity/Q4713290","Alcohol laws of New Jersey","alcohol laws of New Jersey","1"
"drink containing alcohols, typically ethanol","Q154","http://www.wikidata.org/entity/Q154","Alcoholic beverage","alcoholic beverage","0"
"Regional Ginger Soda","Q4714042","http://www.wikidata.org/entity/Q4714042","Ale-8-One","Ale-8-One","1"
"Mexican film director","Q55215","http://www.wikidata.org/entity/Q55215","Alejandro González Iñárritu","Alejandro González Iñárritu","2"
"Chilean-French filmmaker and comics writer","Q263730","http://www.wikidata.org/entity/Q263730","Alejandro Jodorowsky","Alejandro Jodorowsky","2"
"Russian writer, publicist, poet and politician (1918–2008)","Q34474","http://www.wikidata.org/entity/Q34474","Aleksandr Solzhenitsyn","Aleksandr Solzhenitsyn","2"
"actress","Q98953","http://www.wikidata.org/entity/Q98953","Alena Gerber","Alena Gerber","0"
"Filipino artist","Q648952","http://www.wikidata.org/entity/Q648952","Alex Niño","Alex Niño","2"
"Russian-American ballet dancer and film actor","Q435124","http://www.wikidata.org/entity/Q435124","Alexander Godunov","Alexander Godunov","2"
"German diplomat and politician","Q71763","http://www.wikidata.org/entity/Q71763","Alexander Graf Lambsdorff","Alexander Graf Lambsdorff","1"
"Russian diplomat, playwriter, poet, and composer (1795–1829)","Q15001","http://www.wikidata.org/entity/Q15001","Alexander Griboyedov","Alexander Griboyedov","1"
"British film director (1893–1956)","Q55221","http://www.wikidata.org/entity/Q55221","Alexander Korda","Alexander Korda","2"
"Russian film director","Q55172","http://www.wikidata.org/entity/Q55172","Alexander Sokurov","Alexander Sokurov","2"
"city in Egypt","Q87","http://www.wikidata.org/entity/Q87","Alexandria","Alexandria","1"
"city in the state of Virginia, United States","Q88","http://www.wikidata.org/entity/Q88","Alexandria, Virginia","Alexandria","1"
"Tradition of Wicca founded by Alex Sanders","Q2356817","http://www.wikidata.org/entity/Q2356817","Alexandrian Wicca","Alexandrian Wicca","2"
"French surgeon and biologist","Q185777","http://www.wikidata.org/entity/Q185777","Alexis Carrel","Alexis Carrel","1"
"German architect and urban planner (1799–1853)","Q78229","http://www.wikidata.org/entity/Q78229","Alexis de Chateauneuf","Alexis de Chateauneuf","1"
"Austrian painter and architect (1891-1958)","Q88690","http://www.wikidata.org/entity/Q88690","Alfons Walde","Alfons Walde","1"
"German actor (1879–1937)","Q63781","http://www.wikidata.org/entity/Q63781","Alfred Abel","Alfred Abel","2"
"German art historian (1852–1914)","Q103424","http://www.wikidata.org/entity/Q103424","Alfred Lichtwark","Alfred Lichtwark","1"
"Italian engineer and son of Enzo Ferrari (1932–1956)","Q645598","http://www.wikidata.org/entity/Q645598","Alfredo Ferrari","Alfredo Ferrari","1"
"building in Lahore, Pakistan","Q558496","http://www.wikidata.org/entity/Q558496","Alhamra Arts Council","Alhamra Arts Council","1"
"type of Portuguese sausage","Q2563471","http://www.wikidata.org/entity/Q2563471","Alheira","Alheira","2"
"British Jewish pianist and music teacher from Bohemia","Q63556","http://www.wikidata.org/entity/Q63556","Alice Herz-Sommer","Alice Herz-Sommer","1"
"political party within the Indian Empire","Q223898","http://www.wikidata.org/entity/Q223898","All-India Muslim League","All India Muslim League","1"
"political party","Q69119","http://www.wikidata.org/entity/Q69119","All Jammu and Kashmir Muslim Conference","All Jammu and Kashmir Muslim Conference","1"
"Sports drink","Q4729659","http://www.wikidata.org/entity/Q4729659","All Sport","All Sport","0"
"US comic book series","Q1471388","http://www.wikidata.org/entity/Q1471388","All-American Comics","All-American Comics","2"
"legislature of the Russian SFSR (1917-1937)","Q946380","http://www.wikidata.org/entity/Q946380","All-Russian Central Executive Committee","All-Russian Central Executive Committee","1"
"far-right Ukrainian nationalist political party","Q4396","http://www.wikidata.org/entity/Q4396","Svoboda (political party)","All-Ukrainian Union ""Svoboda""","1"
"greeting","Q2361914","http://www.wikidata.org/entity/Q2361914","Alláh-u-Abhá","Alláh-u-Abhá","1"
"American actress (1901-1979)","Q39419","http://www.wikidata.org/entity/Q39419","Allene Ray","Allene Ray","1"
"magazine","Q522831","http://www.wikidata.org/entity/Q522831","Allgemeine Zeitung des Judentums","Allgemeine Zeitung des Judentums","1"
"type of river","Q4733366","http://www.wikidata.org/entity/Q4733366","Alluvial river","alluvial river","0"
"integrated media company located in New York City","Q4652400","http://www.wikidata.org/entity/Q4652400","ALM (company)","ALM","0"
"directory of Europe's royalty and higher nobility, also including the major governmental, military and diplomatic corps, as well as statistical data by country","Q668041","http://www.wikidata.org/entity/Q668041","Almanach de Gotha","Almanach de Gotha","1"
"type of female entertainers in the Middle East","Q2839173","http://www.wikidata.org/entity/Q2839173","Almah (dancer)","Almeh","1"
"plant milk manufactured from almonds","Q975953","http://www.wikidata.org/entity/Q975953","Almond milk","almond milk","0"
"river in Spain","Q16665","http://www.wikidata.org/entity/Q16665","Almonte (river)","Almonte","1"
"mountain of the Lepontine Alps","Q16548","http://www.wikidata.org/entity/Q16548","Alperschällihorn","Alperschällihorn","1"
"club devoted to mountaineering","Q2142568","http://www.wikidata.org/entity/Q2142568","List of alpine clubs","Alpine Club","1"
"folk music that has been handed down mainly in the German-speaking Alpine countries of Bavaria, Austria, Switzerland and South Tyrol","Q252833","http://www.wikidata.org/entity/Q252833","Alpine folk music","Alpine folk music","2"
"Alpine skiing practiced at the Olympic Winter Games","Q660559","http://www.wikidata.org/entity/Q660559","Alpine skiing at the Winter Olympics","alpine skiing at the Winter Olympics","0"
"short-lived unrecognised socialist state in Alsace-Lorraine during the German Revolution of November 1918","Q2380231","http://www.wikidata.org/entity/Q2380231","November 1918 insurgency in Alsace–Lorraine","Alsace-Lorraine Soviet Republic","1"
"English indie rock band","Q47996","http://www.wikidata.org/entity/Q47996","Alt-J","alt-J","2"
"kind of town wind band","Q1412422","http://www.wikidata.org/entity/Q1412422","Alta cappella","alta cappella","1"
"Mesoamerican political entity","Q2479824","http://www.wikidata.org/entity/Q2479824","Altepetl","altepetl","1"
"model who does not conform to mainstream ideals of beauty, often associated with fetishism or subcultures such as goth, emo, steampunk, etc.","Q4736532","http://www.wikidata.org/entity/Q4736532","Alternative model","alternative model","0"
"metallic chemical element of silvery appearance with symbol Al and atomic number 13","Q663","http://www.wikidata.org/entity/Q663","Aluminium","aluminum","0"
"magazine for alumni of an educational institution","Q4737473","http://www.wikidata.org/entity/Q4737473","Alumni magazine","alumni magazine","0"
"Finnish architect and designer (1898–1976)","Q82840","http://www.wikidata.org/entity/Q82840","Alvar Aalto","Alvar Aalto","2"
"film studio","Q9149255","http://www.wikidata.org/entity/Q9149255","Alvernia Studios","Alvernia Studios","1"
"British newspaper and magazine publishing company (1901-1959)","Q686038","http://www.wikidata.org/entity/Q686038","Amalgamated Press","Amalgamated Press","1"
"family of plants","Q155931","http://www.wikidata.org/entity/Q155931","Amaranthaceae","Amaranthaceae","0"
"film genre","Q455620","http://www.wikidata.org/entity/Q455620","Amateur film","amateur film","0"
"type of amateur radio mode","Q455632","http://www.wikidata.org/entity/Q455632","Amateur television","amateur television","0"
"ethnic group","Q16931065","http://www.wikidata.org/entity/Q16931065","Berber Christians","Amazighs Christians Donatians","2"
